county,industry,description,notused1,notused2,employment,laborinc,output
Mackinac,502,Limited-service restaurants,,,226,3877871,17163120
Mackinac,533,"* Employment and payroll of local govt, non-education",,,219,8434728,9502209
Mackinac,534,"* Employment and payroll of local govt, education",,,193,11252000,12665360
Mackinac,531,"* Employment and payroll of state govt, non-education",,,173,18899870,21456450
Macomb,534,"* Employment and payroll of local govt, education",,,17203,1235847000,1391080000
Macomb,395,Wholesale trade,,,13795,1203200000,3346715000
Macomb,501,Full-service restaurants,,,13388,245325900,543809300
Macomb,440,Real estate,,,13277,266140300,2523430000
Macomb,502,Limited-service restaurants,,,12161,200850000,906538400
Macomb,405,Retail - General merchandise stores,,,10116,266619300,746208100
Macomb,482,Hospitals,,,10108,652169000,1338004000
Macomb,464,Employment services,,,9928,347424900,572186800
Macomb,475,Offices of physicians,,,7255,671076700,984447000
Macomb,400,Retail - Food and beverage stores,,,7121,232061000,507202700
Manistee,526,Other local government enterprises,,,1119,62865330,265851300
Manistee,533,"* Employment and payroll of local govt, non-education",,,914,51706750,58250650
Manistee,531,"* Employment and payroll of state govt, non-education",,,500,34567650,39243620
Manistee,534,"* Employment and payroll of local govt, education",,,433,28683890,32286840
Manistee,440,Real estate,,,383,1497838,31625710
Manistee,148,Paperboard mills,,,243,25347740,201870300
Manistee,501,Full-service restaurants,,,229,3388690,8549638
Manistee,395,Wholesale trade,,,207,7934732,35123530
Manistee,502,Limited-service restaurants,,,206,3480891,15635710
Manistee,402,Retail - Gasoline stores,,,200,5044719,13616090
Marquette,482,Hospitals,,,2184,110516000,256504800
Marquette,532,"* Employment and payroll of state govt, education",,,2053,130981600,148341100
Marquette,534,"* Employment and payroll of local govt, education",,,1382,78016980,87816600
Marquette,502,Limited-service restaurants,,,1328,18866190,93489360
Marquette,23,Iron ore mining,,,1275,164512300,983834200
Marquette,501,Full-service restaurants,,,1275,21811480,50308050
Marquette,533,"* Employment and payroll of local govt, non-education",,,1217,58992140,66458070
Marquette,440,Real estate,,,951,7458513,123291900
Marquette,405,Retail - General merchandise stores,,,831,20249510,59373320
Marquette,400,Retail - Food and beverage stores,,,726,15919020,42438300
Mason,534,"* Employment and payroll of local govt, education",,,930,54274770,61092160
Mason,533,"* Employment and payroll of local govt, non-education",,,616,28048360,31598100
Mason,440,Real estate,,,583,4274280,63752470
Mason,405,Retail - General merchandise stores,,,540,15381300,41212480
Mason,501,Full-service restaurants,,,530,7989501,19901060
Mason,482,Hospitals,,,502,28726300,62540120
Mason,19,Support activities for agriculture and forestry,,,432,16030900,26040930
Mason,249,Machine shops,,,424,20523610,57503780
Mason,464,Employment services,,,387,23162430,34991350
Mason,399,Retail - Building material and garden equipment and supplies stores,,,305,10227090,28057450
Mecosta,532,"* Employment and payroll of state govt, education",,,2794,148695200,168402300
Mecosta,531,"* Employment and payroll of state govt, non-education",,,858,72256640,82030790
Mecosta,440,Real estate,,,773,3478463,70627060
Mecosta,533,"* Employment and payroll of local govt, non-education",,,769,37052000,41741230
Mecosta,405,Retail - General merchandise stores,,,665,17395630,48909130
Mecosta,501,Full-service restaurants,,,606,8720676,22368690
Mecosta,14,"Animal production, except cattle and poultry and eggs",,,551,11461140,34003870
Mecosta,534,"* Employment and payroll of local govt, education",,,437,26180680,29469200
Mecosta,464,Employment services,,,425,12894900,21872620
Mecosta,132,Footwear manufacturing,,,417,19637080,73863710
Menominee,526,Other local government enterprises,,,1150,48361760,253189000
Menominee,533,"* Employment and payroll of local govt, non-education",,,732,33519420,37761570
Menominee,534,"* Employment and payroll of local govt, education",,,565,31079730,34983620
Menominee,512,Other personal services,,,386,458797,4255092
Menominee,395,Wholesale trade,,,363,21847680,71812690
Menominee,254,"Valve and fittings, other than plumbing, manufacturing",,,297,21095450,95165720
Menominee,327,Small electrical appliance manufacturing,,,291,28991350,146324900
Menominee,502,Limited-service restaurants,,,282,4257271,20249160
Menominee,483,Nursing and community care facilities,,,278,7627429,14927860
Menominee,501,Full-service restaurants,,,276,3630672,9875766
Midland,166,Plastics material and resin manufacturing,,,3584,495263600,5621045000
Midland,461,Management of companies and enterprises,,,3002,585784500,911002000
Midland,464,Employment services,,,2574,180715700,267859600
Midland,482,Hospitals,,,2446,166111500,332704500
Midland,534,"* Employment and payroll of local govt, education",,,1786,109128000,122835400
Midland,440,Real estate,,,1439,15172630,184079300
Midland,517,Private households,,,1323,8720628,8720628
Midland,502,Limited-service restaurants,,,1254,19081230,90306870
Midland,405,Retail - General merchandise stores,,,1195,28967360,85173800
Midland,501,Full-service restaurants,,,986,18070970,40065680
Missaukee,12,Dairy cattle and milk production,,,356,31474100,123217600
Missaukee,134,Sawmills,,,287,11878690,75026940
Missaukee,395,Wholesale trade,,,252,7126877,38712500
Missaukee,411,Truck transportation,,,245,10696580,34613980
Missaukee,534,"* Employment and payroll of local govt, education",,,241,16184110,18216980
Missaukee,465,Business support services,,,232,1981920,6676996
Missaukee,440,Real estate,,,189,434424,13776990
Missaukee,16,Commercial logging,,,152,8334656,17841710
Missaukee,472,Elementary and secondary schools,,,148,1088558,4366165
Missaukee,10,All other crop farming,,,129,4655880,8752350
Monroe,534,"* Employment and payroll of local govt, education",,,3269,202438400,227866500
Monroe,395,Wholesale trade,,,2070,134164800,435463300
Monroe,502,Limited-service restaurants,,,1963,28775150,139173700
Monroe,440,Real estate,,,1791,9567002,174242300
Monroe,501,Full-service restaurants,,,1676,44092140,80636020
Monroe,461,Management of companies and enterprises,,,1622,235260200,403232400
Monroe,482,Hospitals,,,1403,83963090,178698700
Monroe,533,"* Employment and payroll of local govt, non-education",,,1265,71336020,80364160
Monroe,405,Retail - General merchandise stores,,,1201,29213280,85710690
Monroe,400,Retail - Food and beverage stores,,,1186,30794770,75146370
Montcalm,482,Hospitals,,,1571,91436900,197330000
Montcalm,329,Household refrigerator and home freezer manufacturing,,,1166,169471000,783992400
Montcalm,533,"* Employment and payroll of local govt, non-education",,,979,52050490,58637890
Montcalm,534,"* Employment and payroll of local govt, education",,,823,50763670,57140040
Montcalm,405,Retail - General merchandise stores,,,752,20282270,56056670
Montcalm,502,Limited-service restaurants,,,671,10041890,48260110
Montcalm,531,"* Employment and payroll of state govt, non-education",,,579,43096160,48925780
Montcalm,400,Retail - Food and beverage stores,,,434,8778704,24441530
Montcalm,395,Wholesale trade,,,422,22224530,81369450
Montcalm,402,Retail - Gasoline stores,,,414,7710707,25146770
Muskegon,482,Hospitals,,,4330,291886500,586575700
Muskegon,534,"* Employment and payroll of local govt, education",,,3818,247988200,279137700
Muskegon,502,Limited-service restaurants,,,3255,50103730,236508300
Muskegon,230,Nonferrous metal foundries,,,2839,207513200,740573600
Muskegon,405,Retail - General merchandise stores,,,2514,65187000,184266000
Muskegon,440,Real estate,,,2499,28936240,264111600
Muskegon,396,Retail - Motor vehicle and parts dealers,,,2223,80346360,228896100
Muskegon,501,Full-service restaurants,,,2172,36607830,85215740
Muskegon,464,Employment services,,,1981,46234840,83803420
Muskegon,395,Wholesale trade,,,1969,131611800,421093900
Newaygo,534,"* Employment and payroll of local govt, education",,,967,59880830,67402390
Newaygo,533,"* Employment and payroll of local govt, non-education",,,828,40138820,45218710
Newaygo,19,Support activities for agriculture and forestry,,,540,3920094,11938770
Newaygo,437,Insurance carriers,,,537,31727340,202015800
Newaygo,440,Real estate,,,489,1561490,41674340
Newaygo,401,Retail - Health and personal care stores,,,466,19430950,41264230
Newaygo,502,Limited-service restaurants,,,461,7105177,33401310
Newaygo,482,Hospitals,,,452,28640030,59262640
Newaygo,82,Canned specialties,,,450,24975580,377865500
Newaygo,513,Religious organizations,,,352,9486892,39609260
Oakland,449,"Architectural, engineering, and related services",,,46601,4262246000,7274680000
Oakland,395,Wholesale trade,,,43225,4844777000,12267420000
Oakland,440,Real estate,,,42475,1387714000,10859840000
Oakland,464,Employment services,,,34540,1799914000,2764225000
Oakland,482,Hospitals,,,33316,2378277000,4655369000
Oakland,501,Full-service restaurants,,,25118,544465700,1099721000
Oakland,534,"* Employment and payroll of local govt, education",,,23837,1789602000,2014392000
Oakland,502,Limited-service restaurants,,,21941,390750500,1689151000
Oakland,436,Other financial investment activities,,,17916,346110400,2322202000
Oakland,475,Offices of physicians,,,16827,1552121000,2282077000
Oceana,533,"* Employment and payroll of local govt, non-education",,,731,38625540,43513900
Oceana,4,Fruit farming,,,694,23904830,39888160
Oceana,79,"Frozen fruits, juices and vegetables manufacturing",,,597,28833820,262312800
Oceana,395,Wholesale trade,,,462,33673540,104924600
Oceana,81,Canned fruits and vegetables manufacturing,,,370,17991520,184686700
Oceana,501,Full-service restaurants,,,369,5566481,13858030
Oceana,534,"* Employment and payroll of local govt, education",,,356,22195420,24983360
Oceana,14,"Animal production, except cattle and poultry and eggs",,,293,8118907,21501260
Oceana,440,Real estate,,,279,861569,23660120
Oceana,400,Retail - Food and beverage stores,,,246,5084091,13938580
Ogemaw,533,"* Employment and payroll of local govt, non-education",,,777,38156120,42985080
Ogemaw,405,Retail - General merchandise stores,,,392,10616990,29266450
Ogemaw,502,Limited-service restaurants,,,381,5464085,26847720
Ogemaw,403,Retail - Clothing and clothing accessories stores,,,325,5946025,23826110
Ogemaw,480,Home health care services,,,309,7121212,8524051
Ogemaw,483,Nursing and community care facilities,,,291,8755304,16395400
Ogemaw,395,Wholesale trade,,,287,11465320,50007120
Ogemaw,482,Hospitals,,,281,17093610,36086420
Ogemaw,440,Real estate,,,259,1245926,26972710
Ogemaw,501,Full-service restaurants,,,254,3998259,9708636
Osceola,534,"* Employment and payroll of local govt, education",,,391,26863530,30237820
Osceola,482,Hospitals,,,334,17288970,39620550
Osceola,10,All other crop farming,,,327,3459421,9119296
Osceola,533,"* Employment and payroll of local govt, non-education",,,311,13180730,14848850
Osceola,484,"Residential mental retardation, mental health, substance abuse and other facilities",,,300,9703921,11425510
Osceola,240,Metal window and door manufacturing,,,240,14892590,54380750
Osceola,195,Other plastics product manufacturing,,,236,14583780,62657980
Osceola,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",,,212,1786538,11914650
Osceola,84,Fluid milk manufacturing,,,196,13607610,153624800
Osceola,58,Construction of other new nonresidential structures,,,190,14237620,33970490
Otsego,405,Retail - General merchandise stores,,,679,18564890,50885100
Otsego,20,Extraction of natural gas and crude petroleum,,,665,25343240,92870000
Otsego,501,Full-service restaurants,,,564,9579115,22181070
Otsego,482,Hospitals,,,546,36556070,73730220
Otsego,440,Real estate,,,491,2963513,55303860
Otsego,400,Retail - Food and beverage stores,,,478,15542920,33811430
Otsego,533,"* Employment and payroll of local govt, non-education",,,476,26280020,29605970
Otsego,502,Limited-service restaurants,,,403,7694549,32084310
Otsego,395,Wholesale trade,,,357,19451690,70577670
Otsego,38,Support activities for oil and gas operations,,,276,18957020,39794230
Ottawa,534,"* Employment and payroll of local govt, education",,,6843,454082700,511119500
Ottawa,395,Wholesale trade,,,5313,383348300,1182668000
Ottawa,532,"* Employment and payroll of state govt, education",,,4356,292270700,331006400
Ottawa,502,Limited-service restaurants,,,4190,67015120,308271800
Ottawa,464,Employment services,,,3919,101618200,179146600
Ottawa,440,Real estate,,,3774,43242250,528056200
Ottawa,468,Services to buildings,,,3709,77411200,131536300
Ottawa,501,Full-service restaurants,,,3523,59965740,138840800
Ottawa,533,"* Employment and payroll of local govt, non-education",,,3308,183940400,207219500
Ottawa,411,Truck transportation,,,3041,157540500,466133400
Presque Isle,533,"* Employment and payroll of local govt, non-education",,,257,10061420,11334780
Presque Isle,482,Hospitals,,,250,11816070,28494440
Presque Isle,30,Stone mining and quarrying,,,208,6972341,37004900
Presque Isle,534,"* Employment and payroll of local govt, education",,,183,11325630,12748230
Presque Isle,502,Limited-service restaurants,,,179,2499124,12519830
Presque Isle,440,Real estate,,,168,545571,13182170
Presque Isle,411,Truck transportation,,,146,4778912,19103910
Presque Isle,16,Commercial logging,,,135,4054232,11809410
Presque Isle,483,Nursing and community care facilities,,,135,4248070,7794267
Presque Isle,400,Retail - Food and beverage stores,,,109,2834784,6919482
Roscommon,534,"* Employment and payroll of local govt, education",,,613,38578350,43424130
Roscommon,355,Motor vehicle metal stamping,,,371,17056400,126511800
Roscommon,501,Full-service restaurants,,,365,5512047,13713110
Roscommon,405,Retail - General merchandise stores,,,359,10039880,27185330
Roscommon,533,"* Employment and payroll of local govt, non-education",,,354,15031930,16934340
Roscommon,440,Real estate,,,271,1141035,27166940
Roscommon,483,Nursing and community care facilities,,,248,6745149,13243220
Roscommon,503,All other food and drinking places,,,244,4183119,7182207
Roscommon,396,Retail - Motor vehicle and parts dealers,,,193,8460426,21853160
Roscommon,399,Retail - Building material and garden equipment and supplies stores,,,181,5309400,15668600
Saginaw,482,Hospitals,,,6250,426905900,852649000
Saginaw,501,Full-service restaurants,,,4098,73385940,164732200
Saginaw,464,Employment services,,,3614,137644800,223044000
Saginaw,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",,,3469,321481400,1847021000
Saginaw,534,"* Employment and payroll of local govt, education",,,3404,214804300,241785600
Saginaw,502,Limited-service restaurants,,,2901,42569000,206792700
Saginaw,533,"* Employment and payroll of local govt, non-education",,,2850,146275700,164788000
Saginaw,395,Wholesale trade,,,2641,192175100,593476500
Saginaw,405,Retail - General merchandise stores,,,2443,61866300,177306100
Saginaw,468,Services to buildings,,,2411,68518400,104672800
Sanilac,534,"* Employment and payroll of local govt, education",,,824,50564500,56915840
Sanilac,482,Hospitals,,,767,35537750,86580560
Sanilac,395,Wholesale trade,,,682,37387200,134466300
Sanilac,533,"* Employment and payroll of local govt, non-education",,,627,31190630,35138050
Sanilac,464,Employment services,,,540,13473530,23995940
Sanilac,440,Real estate,,,497,3511007,49864290
Sanilac,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",,,444,7007129,47532600
Sanilac,12,Dairy cattle and milk production,,,443,31277970,144697100
Sanilac,250,"Turned product and screw, nut, and bolt manufacturing",,,407,22431290,86196990
Sanilac,396,Retail - Motor vehicle and parts dealers,,,402,16441200,44006700
Shiawassee,395,Wholesale trade,,,2137,84008620,370696600
Shiawassee,534,"* Employment and payroll of local govt, education",,,1647,97197730,109406600
Shiawassee,482,Hospitals,,,1310,71851060,159844400
Shiawassee,533,"* Employment and payroll of local govt, non-education",,,1068,49149740,55370020
Shiawassee,405,Retail - General merchandise stores,,,644,16989330,47528920
Shiawassee,501,Full-service restaurants,,,560,8810763,21363040
Shiawassee,502,Limited-service restaurants,,,504,7390704,35914150
Shiawassee,399,Retail - Building material and garden equipment and supplies stores,,,431,15354340,40792140
Shiawassee,440,Real estate,,,415,1965561,42789220
Shiawassee,503,All other food and drinking places,,,388,7195073,11546710
St. Clair,534,"* Employment and payroll of local govt, education",,,3124,203239100,228767800
St. Clair,482,Hospitals,,,2633,158082800,335854500
St. Clair,440,Real estate,,,2217,33025290,271650500
St. Clair,502,Limited-service restaurants,,,2214,32190890,156783500
St. Clair,405,Retail - General merchandise stores,,,1954,46428630,138150500
St. Clair,395,Wholesale trade,,,1790,161882800,441006000
St. Clair,533,"* Employment and payroll of local govt, non-education",,,1757,96139210,108306400
St. Clair,501,Full-service restaurants,,,1694,27208670,65192100
St. Clair,475,Offices of physicians,,,1473,122758200,187025200
St. Clair,483,Nursing and community care facilities,,,1222,44321320,76497580
St. Joseph,517,Private households,,,3336,20924060,20924060
St. Joseph,534,"* Employment and payroll of local govt, education",,,1693,98948560,111377400
St. Joseph,353,Motor vehicle transmission and power train parts manufacturing,,,1566,90719890,887257500
St. Joseph,195,Other plastics product manufacturing,,,1174,61516800,298431800
St. Joseph,192,Polystyrene foam product manufacturing,,,882,51171480,335347600
St. Joseph,405,Retail - General merchandise stores,,,869,23417430,64749950
St. Joseph,346,Motor vehicle body manufacturing,,,855,62315110,277186500
St. Joseph,502,Limited-service restaurants,,,699,10558450,50436820
St. Joseph,19,Support activities for agriculture and forestry,,,667,16591040,30122730
St. Joseph,482,Hospitals,,,661,44196210,89170400
Tuscola,534,"* Employment and payroll of local govt, education",,,1315,77790420,87561580
Tuscola,533,"* Employment and payroll of local govt, non-education",,,729,34359470,38707930
Tuscola,395,Wholesale trade,,,658,43390070,141636400
Tuscola,483,Nursing and community care facilities,,,655,23628930,40867150
Tuscola,531,"* Employment and payroll of state govt, non-education",,,519,48678600,55263350
Tuscola,502,Limited-service restaurants,,,500,6453982,33850020
Tuscola,482,Hospitals,,,456,22962560,53582470
Tuscola,411,Truck transportation,,,451,21193180,66323540
Tuscola,2,Grain farming,,,445,5556648,93341990
Tuscola,513,Religious organizations,,,381,10027260,42611960
Van Buren,534,"* Employment and payroll of local govt, education",,,2137,134885400,151828200
Van Buren,533,"* Employment and payroll of local govt, non-education",,,1988,104475200,117697400
Van Buren,456,Scientific research and development services,,,1321,84312910,276327200
Van Buren,4,Fruit farming,,,1288,47718540,69043880
Van Buren,501,Full-service restaurants,,,904,13816730,34132500
Van Buren,502,Limited-service restaurants,,,814,12049930,58252010
Van Buren,43,Electric power generation - Nuclear,,,702,117074400,590021000
Van Buren,531,"* Employment and payroll of state govt, non-education",,,651,58923320,66893880
Van Buren,405,Retail - General merchandise stores,,,633,16503820,46513920
Van Buren,400,Retail - Food and beverage stores,,,633,14718600,37969520
Washtenaw,531,"* Employment and payroll of state govt, non-education",,,36060,2665438000,3025991000
Washtenaw,532,"* Employment and payroll of state govt, education",,,16505,771044600,873234000
Washtenaw,534,"* Employment and payroll of local govt, education",,,7417,482968900,543634100
Washtenaw,482,Hospitals,,,6914,503328300,976657900
Washtenaw,440,Real estate,,,6799,128637300,1624962000
Washtenaw,501,Full-service restaurants,,,6310,129915900,269722300
Washtenaw,464,Employment services,,,6103,168753400,292779700
Washtenaw,456,Scientific research and development services,,,5845,550494300,1443329000
Washtenaw,502,Limited-service restaurants,,,5814,101039400,444861000
Washtenaw,395,Wholesale trade,,,5537,485668500,1364310000
Wayne,482,Hospitals,,,52665,3918464000,7529871000
Wayne,395,Wholesale trade,,,31561,2906146000,8019917000
Wayne,534,"* Employment and payroll of local govt, education",,,29272,2089208000,2351632000
Wayne,502,Limited-service restaurants,,,25143,474753100,1990260000
Wayne,501,Full-service restaurants,,,23274,449067700,967267200
Wayne,461,Management of companies and enterprises,,,22017,3141507000,5418388000
Wayne,533,"* Employment and payroll of local govt, non-education",,,21394,1501572000,1691607000
Wayne,440,Real estate,,,21291,376135600,3699393000
Wayne,464,Employment services,,,21147,762859800,1248436000
Wayne,343,Automobile manufacturing,,,18359,2044406000,32168620000
Wexford,364,Boat building,,,900,74175870,252663800
Wexford,198,Other rubber product manufacturing,,,805,37584030,232232500
Wexford,534,"* Employment and payroll of local govt, education",,,775,49398660,55603570
Wexford,533,"* Employment and payroll of local govt, non-education",,,726,37731110,42506290
Wexford,405,Retail - General merchandise stores,,,662,17749560,49228380
Wexford,482,Hospitals,,,588,36329710,76131200
Wexford,501,Full-service restaurants,,,481,7379329,18177200
Wexford,502,Limited-service restaurants,,,477,7071263,34120660
Wexford,464,Employment services,,,473,9666155,18208430
Wexford,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",,,392,28212170,195047500
