Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,5001,Employee Compensation,0
1,Oilseed farming,6001,Proprietor Income,0
1,Oilseed farming,7001,Other Property Type Income,0
1,Oilseed farming,8001,Tax on Production and Imports,0
2,Grain farming,5001,Employee Compensation,0
2,Grain farming,6001,Proprietor Income,0
2,Grain farming,7001,Other Property Type Income,0
2,Grain farming,8001,Tax on Production and Imports,0
3,Vegetable and melon farming,5001,Employee Compensation,0
3,Vegetable and melon farming,6001,Proprietor Income,0
3,Vegetable and melon farming,7001,Other Property Type Income,0
3,Vegetable and melon farming,8001,Tax on Production and Imports,0
4,Fruit farming,5001,Employee Compensation,0
4,Fruit farming,6001,Proprietor Income,0
4,Fruit farming,7001,Other Property Type Income,0
4,Fruit farming,8001,Tax on Production and Imports,0
5,Tree nut farming,5001,Employee Compensation,0
5,Tree nut farming,6001,Proprietor Income,0
5,Tree nut farming,7001,Other Property Type Income,0
5,Tree nut farming,8001,Tax on Production and Imports,0
6,"Greenhouse, nursery, and floriculture production",5001,Employee Compensation,0
6,"Greenhouse, nursery, and floriculture production",6001,Proprietor Income,0
6,"Greenhouse, nursery, and floriculture production",7001,Other Property Type Income,0
6,"Greenhouse, nursery, and floriculture production",8001,Tax on Production and Imports,0
7,Tobacco farming,5001,Employee Compensation,0
7,Tobacco farming,6001,Proprietor Income,0
7,Tobacco farming,7001,Other Property Type Income,0
7,Tobacco farming,8001,Tax on Production and Imports,0
8,Cotton farming,5001,Employee Compensation,0
8,Cotton farming,6001,Proprietor Income,0
8,Cotton farming,7001,Other Property Type Income,0
8,Cotton farming,8001,Tax on Production and Imports,0
9,Sugarcane and sugar beet farming,5001,Employee Compensation,0
9,Sugarcane and sugar beet farming,6001,Proprietor Income,0
9,Sugarcane and sugar beet farming,7001,Other Property Type Income,0
9,Sugarcane and sugar beet farming,8001,Tax on Production and Imports,0
10,All other crop farming,5001,Employee Compensation,0
10,All other crop farming,6001,Proprietor Income,0
10,All other crop farming,7001,Other Property Type Income,0
10,All other crop farming,8001,Tax on Production and Imports,0
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",5001,Employee Compensation,0
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",6001,Proprietor Income,0
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",7001,Other Property Type Income,0
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",8001,Tax on Production and Imports,0
12,Dairy cattle and milk production,5001,Employee Compensation,0
12,Dairy cattle and milk production,6001,Proprietor Income,0
12,Dairy cattle and milk production,7001,Other Property Type Income,0
12,Dairy cattle and milk production,8001,Tax on Production and Imports,0
13,Poultry and egg production,5001,Employee Compensation,0
13,Poultry and egg production,6001,Proprietor Income,0
13,Poultry and egg production,7001,Other Property Type Income,0
13,Poultry and egg production,8001,Tax on Production and Imports,0
14,"Animal production, except cattle and poultry and eggs",5001,Employee Compensation,0
14,"Animal production, except cattle and poultry and eggs",6001,Proprietor Income,0
14,"Animal production, except cattle and poultry and eggs",7001,Other Property Type Income,0
14,"Animal production, except cattle and poultry and eggs",8001,Tax on Production and Imports,0
15,"Forestry, forest products, and timber tract production",15,"Forestry, forest products, and timber tract production",0.00010189066931082409
15,"Forestry, forest products, and timber tract production",19,Support activities for agriculture and forestry,0.06142297058228241
15,"Forestry, forest products, and timber tract production",20,Extraction of natural gas and crude petroleum,2.9693779915400398E-05
15,"Forestry, forest products, and timber tract production",50,Natural gas distribution,5.4549326417215613E-06
15,"Forestry, forest products, and timber tract production",62,Maintenance and repair construction of nonresidential structures,0.00025659019397872643
15,"Forestry, forest products, and timber tract production",154,Printing,8.6649853800996839E-07
15,"Forestry, forest products, and timber tract production",180,Polish and other sanitation good manufacturing,2.4984497218661402E-06
15,"Forestry, forest products, and timber tract production",195,Other plastics product manufacturing,3.3696495375770902E-09
15,"Forestry, forest products, and timber tract production",261,Other fabricated metal manufacturing,5.0031302964342384E-07
15,"Forestry, forest products, and timber tract production",346,Motor vehicle body manufacturing,4.3777165312556599E-10
15,"Forestry, forest products, and timber tract production",356,Other motor vehicle parts manufacturing,9.4113368025320395E-07
15,"Forestry, forest products, and timber tract production",395,Wholesale trade,0.0010771475622254334
15,"Forestry, forest products, and timber tract production",396,Retail - Motor vehicle and parts dealers,1.2794425351165205E-05
15,"Forestry, forest products, and timber tract production",397,Retail - Furniture and home furnishings stores,6.6036459630128238E-08
15,"Forestry, forest products, and timber tract production",398,Retail - Electronics and appliance stores,8.0197333578283002E-09
15,"Forestry, forest products, and timber tract production",399,Retail - Building material and garden equipment and supplies stores,3.3444273771526771E-07
15,"Forestry, forest products, and timber tract production",401,Retail - Health and personal care stores,4.5528257439871641E-07
15,"Forestry, forest products, and timber tract production",402,Retail - Gasoline stores,5.4596208691022271E-07
15,"Forestry, forest products, and timber tract production",403,Retail - Clothing and clothing accessories stores,3.0919019614515937E-07
15,"Forestry, forest products, and timber tract production",404,"Retail - Sporting goods, hobby, musical instrument and book stores",9.3288849124551236E-08
15,"Forestry, forest products, and timber tract production",405,Retail - General merchandise stores,9.4624236302219512E-06
15,"Forestry, forest products, and timber tract production",406,Retail - Miscellaneous store retailers,5.8250319933520926E-07
15,"Forestry, forest products, and timber tract production",407,Retail - Nonstore retailers,1.7351563634963521E-06
15,"Forestry, forest products, and timber tract production",411,Truck transportation,4.0384229863637752E-05
15,"Forestry, forest products, and timber tract production",413,Pipeline transportation,1.1058676142769284E-06
15,"Forestry, forest products, and timber tract production",417,Newspaper publishers,2.3714867220400672E-06
15,"Forestry, forest products, and timber tract production",425,Radio and television broadcasting,2.9226501311440528E-06
15,"Forestry, forest products, and timber tract production",427,Wired telecommunications carriers,2.4769374593515555E-06
15,"Forestry, forest products, and timber tract production",432,Internet publishing and broadcasting and web search portals,3.6824675173327388E-07
15,"Forestry, forest products, and timber tract production",433,Monetary authorities and depository credit intermediation,0.00015166152401168559
