county,year,industry,description,notused1,notused2,employment,laborinc,output
Alcona,2006,441,Owner-occupied dwellings,,,0,0,35460060
Alcona,2006,440,Real estate,,,241,756515,23946820
Alcona,2006,42,Electric power generation - Fossil  fuel,,,20,2053867,22774730
Alcona,2006,475,Offices of physicians,,,102,6622364,10323870
Alcona,2006,59,Construction of new single-family residential structures,,,110,3216463,9816106
Alcona,2006,134,Sawmills,,,47,1048789,9555306
Alcona,2006,534,"* Employment and payroll of local govt, education",,,155,7434240,8274191
Alcona,2006,279,"Special tool, die, jig, and fixture manufacturing",,,87,5286185,7838493
Alcona,2006,280,Cutting tool and machine tool accessory manufacturing,,,49,2501038,7731530
Alcona,2006,407,Retail - Nonstore retailers,,,155,1255816,6494430
Allegan,2006,174,Pharmaceutical preparation manufacturing,,,1646,126466000,614391500
Allegan,2006,179,Soap and other detergent manufacturing,,,968,80161820,475396300
Allegan,2006,364,Boat building,,,705,33324840,446294200
Allegan,2006,375,"Office furniture, except wood, manufacturing",,,1560,109211800,410467800
Allegan,2006,441,Owner-occupied dwellings,,,0,0,374101400
Allegan,2006,344,Light truck and utility vehicle manufacturing,,,185,15129690,362135900
Allegan,2006,89,"Animal, except poultry, slaughtering",,,917,29577620,308116600
Allegan,2006,440,Real estate,,,2725,19117860,304486400
Allegan,2006,395,Wholesale trade,,,1789,81357450,272698800
Allegan,2006,185,Custom compounding of purchased resins,,,536,27895670,202340200
Alpena,2006,138,Reconstituted wood product manufacturing,,,315,17953840,110545400
Alpena,2006,291,Conveyor and conveying equipment manufacturing,,,380,21097520,108156100
Alpena,2006,441,Owner-occupied dwellings,,,0,0,88189550
Alpena,2006,440,Real estate,,,513,4202734,80014010
Alpena,2006,395,Wholesale trade,,,528,23242830,79934150
Alpena,2006,262,Farm machinery and equipment manufacturing,,,234,15179530,70692270
Alpena,2006,533,"* Employment and payroll of local govt, non-education",,,1363,61959170,69110640
Alpena,2006,534,"* Employment and payroll of local govt, education",,,1053,60125290,66918500
Alpena,2006,84,Fluid milk manufacturing,,,109,6982476,57584250
Alpena,2006,433,Monetary authorities and depository credit intermediation,,,283,10893940,46911110
Antrim,2006,441,Owner-occupied dwellings,,,0,0,82234120
Antrim,2006,440,Real estate,,,694,4748623,81496320
Antrim,2006,355,Motor vehicle metal stamping,,,216,8744187,48162140
Antrim,2006,280,Cutting tool and machine tool accessory manufacturing,,,236,14389680,39684470
Antrim,2006,356,Other motor vehicle parts manufacturing,,,148,9199172,38456920
Antrim,2006,59,Construction of new single-family residential structures,,,424,12542220,38267040
Antrim,2006,534,"* Employment and payroll of local govt, education",,,625,29989550,33377900
Antrim,2006,81,Canned fruits and vegetables manufacturing,,,100,4013235,32648890
Antrim,2006,395,Wholesale trade,,,222,6159021,28137720
Antrim,2006,499,"Hotels and motels, including casino hotels",,,316,6593297,27077460
Arenac,2006,395,Wholesale trade,,,491,9693051,56345600
Arenac,2006,441,Owner-occupied dwellings,,,0,0,48754200
Arenac,2006,440,Real estate,,,353,382340,28564950
Arenac,2006,300,"Scales, balances, and miscellaneous general purpose machinery manufacturing",,,98,3072032,26915300
Arenac,2006,411,Truck transportation,,,241,6228346,25576390
Arenac,2006,271,All other industrial machinery manufacturing,,,101,4329226,24722340
Arenac,2006,41,Electric power generation - Hydroelectric,,,83,9708826,23992910
Arenac,2006,533,"* Employment and payroll of local govt, non-education",,,405,20978260,23399620
Arenac,2006,478,Outpatient care centers,,,247,4242395,22222030
Arenac,2006,428,Wireless telecommunications carriers (except satellite),,,24,1085870,21634860
Barry,2006,331,Other major household appliance manufacturing,,,3440,348162300,1240421000
Barry,2006,441,Owner-occupied dwellings,,,0,0,209037300
Barry,2006,437,Insurance carriers,,,387,23600250,156329400
Barry,2006,440,Real estate,,,1250,4350421,109630100
Barry,2006,534,"* Employment and payroll of local govt, education",,,1437,74277880,82670100
Barry,2006,364,Boat building,,,127,6836334,81436660
Barry,2006,395,Wholesale trade,,,585,17397730,75430540
Barry,2006,300,"Scales, balances, and miscellaneous general purpose machinery manufacturing",,,238,13321550,73008830
Barry,2006,197,Rubber and plastics hoses and belting manufacturing,,,447,21482030,63108800
Barry,2006,42,Electric power generation - Fossil  fuel,,,54,5471393,60268260
Bay,2006,49,Electric power transmission and distribution,,,236,23394350,436446000
Bay,2006,441,Owner-occupied dwellings,,,0,0,374545700
Bay,2006,166,Plastics material and resin manufacturing,,,266,26922920,310319400
Bay,2006,350,Motor vehicle gasoline engine and engine parts manufacturing,,,532,54104460,252423300
Bay,2006,534,"* Employment and payroll of local govt, education",,,3697,204604900,227722000
Bay,2006,395,Wholesale trade,,,1440,70057840,227415000
Bay,2006,456,Scientific research and development services,,,846,115179800,204993000
Bay,2006,482,Hospitals,,,2040,106416700,200690600
