county,year,industry,description,notused1,notused2,employment,laborinc,output
Lake,2014,446,Lessors of nonfinancial intangible assets,,,17,7109,11142780
Lake,2014,483,Nursing and community care facilities,,,169,4821432,9255762
Lake,2014,463,Facilities support services,,,85,1601651,8877299
Lake,2014,260,Fabricated pipe and pipe fitting manufacturing,,,26,1046963,6077675
Lapeer,2014,441,Owner-occupied dwellings,,,0,0,353437700
Lapeer,2014,81,Canned fruits and vegetables manufacturing,,,475,23414810,237750100
Lapeer,2014,195,Other plastics product manufacturing,,,896,37106390,215591100
Lapeer,2014,345,Heavy duty truck manufacturing,,,180,11572180,187028700
Lapeer,2014,440,Real estate,,,1276,9414424,136076400
Lapeer,2014,61,Construction of other new residential structures,,,440,11025230,120516700
Lapeer,2014,502,Limited-service restaurants,,,1540,22977550,110642400
Lapeer,2014,533,"* Employment and payroll of local govt, non-education",,,1929,98084520,110497900
Lapeer,2014,355,Motor vehicle metal stamping,,,282,17945660,104115700
Lapeer,2014,261,Other fabricated metal manufacturing,,,442,21412310,89551980
Leelanau,2014,526,Other local government enterprises,,,1285,63629490,294747500
Leelanau,2014,441,Owner-occupied dwellings,,,0,0,106817600
Leelanau,2014,440,Real estate,,,621,3812916,69578490
Leelanau,2014,4,Fruit farming,,,535,19915930,35764310
Leelanau,2014,395,Wholesale trade,,,218,7472636,35149430
Leelanau,2014,109,Wineries,,,147,3907052,34094700
Leelanau,2014,61,Construction of other new residential structures,,,116,3466342,32744440
Leelanau,2014,436,Other financial investment activities,,,191,5273690,26876160
Leelanau,2014,534,"* Employment and payroll of local govt, education",,,335,22495030,25320600
Leelanau,2014,533,"* Employment and payroll of local govt, non-education",,,458,21993990,24777510
Lenawee,2014,166,Plastics material and resin manufacturing,,,474,53709500,727865600
Lenawee,2014,355,Motor vehicle metal stamping,,,1208,93617460,473026300
Lenawee,2014,156,Petroleum refineries,,,43,9323449,397199000
Lenawee,2014,441,Owner-occupied dwellings,,,0,0,383432100
Lenawee,2014,356,Other motor vehicle parts manufacturing,,,686,49900530,361863300
Lenawee,2014,165,Other basic organic chemical manufacturing,,,172,16963010,359242700
Lenawee,2014,161,Petrochemical manufacturing,,,32,5424246,285947800
Lenawee,2014,395,Wholesale trade,,,851,61768460,192102000
Lenawee,2014,534,"* Employment and payroll of local govt, education",,,2171,138247700,155612800
Lenawee,2014,440,Real estate,,,1179,6951855,128371100
Livingston,2014,441,Owner-occupied dwellings,,,0,0,903602500
Livingston,2014,356,Other motor vehicle parts manufacturing,,,1479,139354500,839925800
Livingston,2014,440,Real estate,,,4306,40748590,631478100
Livingston,2014,395,Wholesale trade,,,2378,192127600,565290000
Livingston,2014,437,Insurance carriers,,,778,69554220,358647600
Livingston,2014,159,Petroleum lubricating oil and grease manufacturing,,,237,30565900,341164200
Livingston,2014,156,Petroleum refineries,,,38,6227580,334810900
Livingston,2014,502,Limited-service restaurants,,,3767,56636500,270740300
Livingston,2014,454,Management consulting services,,,2756,105521200,239758000
Livingston,2014,355,Motor vehicle metal stamping,,,609,39546710,226235300
Mackinac,2014,526,Other local government enterprises,,,490,20749870,108097600
Mackinac,2014,499,"Hotels and motels, including casino hotels",,,643,20017950,71407980
Mackinac,2014,441,Owner-occupied dwellings,,,0,0,43579780
Mackinac,2014,410,Water transportation,,,66,1536703,38797280
Mackinac,2014,440,Real estate,,,270,1858177,27555700
Mackinac,2014,482,Hospitals,,,232,11561360,27085660
Mackinac,2014,531,"* Employment and payroll of state govt, non-education",,,173,18899870,21456450
Mackinac,2014,495,Gambling industries (except casino hotels),,,153,4738274,20304560
Mackinac,2014,17,Commercial fishing,,,340,1676386,19421710
Mackinac,2014,30,Stone mining and quarrying,,,82,4490032,18836590
Macomb,2014,344,Light truck and utility vehicle manufacturing,,,6480,690345200,14362760000
Macomb,2014,343,Automobile manufacturing,,,6677,1058216000,12767750000
Macomb,2014,441,Owner-occupied dwellings,,,0,0,3705220000
Macomb,2014,353,Motor vehicle transmission and power train parts manufacturing,,,5004,580810300,3363891000
Macomb,2014,395,Wholesale trade,,,13795,1203200000,3346715000
Macomb,2014,355,Motor vehicle metal stamping,,,6657,649183000,2822846000
Macomb,2014,440,Real estate,,,13277,266140300,2523430000
Macomb,2014,354,Motor vehicle seating and interior trim manufacturing,,,2588,240863000,1514888000
Macomb,2014,534,"* Employment and payroll of local govt, education",,,17203,1235847000,1391080000
Macomb,2014,482,Hospitals,,,10108,652169000,1338004000
Manistee,2014,526,Other local government enterprises,,,1119,62865330,265851300
Manistee,2014,148,Paperboard mills,,,243,25347740,201870300
Manistee,2014,441,Owner-occupied dwellings,,,0,0,95845460
Manistee,2014,164,Other basic inorganic chemical manufacturing,,,86,8365582,69962440
Manistee,2014,533,"* Employment and payroll of local govt, non-education",,,914,51706750,58250650
Manistee,2014,351,Motor vehicle electrical and electronic equipment manufacturing,,,131,10850310,55962460
Manistee,2014,226,"Copper rolling, drawing, extruding and alloying",,,41,2643186,46329040
Manistee,2014,531,"* Employment and payroll of state govt, non-education",,,500,34567650,39243620
Manistee,2014,172,Pesticide and other agricultural chemical manufacturing,,,28,2926368,38396950
Manistee,2014,104,Spice and extract manufacturing,,,66,4409477,35867300
Marquette,2014,23,Iron ore mining,,,1275,164512300,983834200
Marquette,2014,42,Electric power generation - Fossil  fuel,,,246,27883850,317514100
Marquette,2014,441,Owner-occupied dwellings,,,0,0,287092100
Marquette,2014,482,Hospitals,,,2184,110516000,256504800
Marquette,2014,532,"* Employment and payroll of state govt, education",,,2053,130981600,148341100
Marquette,2014,428,Wireless telecommunications carriers (except satellite),,,68,6852739,148154500
Marquette,2014,395,Wholesale trade,,,660,37794210,133008100
Marquette,2014,475,Offices of physicians,,,606,101862100,125877900
Marquette,2014,440,Real estate,,,951,7458513,123291900
Marquette,2014,502,Limited-service restaurants,,,1328,18866190,93489360
Mason,2014,441,Owner-occupied dwellings,,,0,0,110973700
Mason,2014,42,Electric power generation - Fossil  fuel,,,80,12329310,110297900
Mason,2014,375,"Office furniture, except wood, manufacturing",,,260,15668270,99872020
Mason,2014,164,Other basic inorganic chemical manufacturing,,,113,9579580,89463000
Mason,2014,81,Canned fruits and vegetables manufacturing,,,170,6606075,82442090
Mason,2014,440,Real estate,,,583,4274280,63752470
Mason,2014,482,Hospitals,,,502,28726300,62540120
Mason,2014,229,Ferrous metal foundries,,,204,13311980,61628560
Mason,2014,534,"* Employment and payroll of local govt, education",,,930,54274770,61092160
Mason,2014,312,Printed circuit assembly (electronic assembly) manufacturing,,,192,12014650,59972550
Mecosta,2014,343,Automobile manufacturing,,,384,35163610,648393500
Mecosta,2014,532,"* Employment and payroll of state govt, education",,,2794,148695200,168402300
Mecosta,2014,441,Owner-occupied dwellings,,,0,0,155600000
Mecosta,2014,152,Sanitary paper product manufacturing,,,179,12149870,140608300
Mecosta,2014,355,Motor vehicle metal stamping,,,309,18117340,111615400
Mecosta,2014,86,Cheese manufacturing,,,94,5924294,92112900
Mecosta,2014,531,"* Employment and payroll of state govt, non-education",,,858,72256640,82030790
Mecosta,2014,131,Leather and hide tanning and finishing,,,218,7693796,77672500
Mecosta,2014,132,Footwear manufacturing,,,417,19637080,73863710
Mecosta,2014,440,Real estate,,,773,3478463,70627060
Menominee,2014,526,Other local government enterprises,,,1150,48361760,253189000
Menominee,2014,327,Small electrical appliance manufacturing,,,291,28991350,146324900
Menominee,2014,357,Aircraft manufacturing,,,208,12974300,134671900
Menominee,2014,350,Motor vehicle gasoline engine and engine parts manufacturing,,,201,14114960,124771700
Menominee,2014,254,"Valve and fittings, other than plumbing, manufacturing",,,297,21095450,95165720
Menominee,2014,147,Paper mills,,,128,9576255,94997180
Menominee,2014,441,Owner-occupied dwellings,,,0,0,91212200
Menominee,2014,395,Wholesale trade,,,363,21847680,71812690
Menominee,2014,134,Sawmills,,,191,8981164,51056460
Menominee,2014,12,Dairy cattle and milk production,,,142,8943002,39150170
Midland,2014,166,Plastics material and resin manufacturing,,,3584,495263600,5621045000
Midland,2014,461,Management of companies and enterprises,,,3002,585784500,911002000
Midland,2014,431,"News syndicates, libraries, archives and all other information services",,,789,7663114,596566700
Midland,2014,441,Owner-occupied dwellings,,,0,0,373846300
Midland,2014,482,Hospitals,,,2446,166111500,332704500
Midland,2014,185,Custom compounding of purchased resins,,,600,44588020,314395500
Midland,2014,156,Petroleum refineries,,,34,4094164,289467900
Midland,2014,464,Employment services,,,2574,180715700,267859600
Midland,2014,42,Electric power generation - Fossil  fuel,,,195,28439440,266296000
Midland,2014,440,Real estate,,,1439,15172630,184079300
Missaukee,2014,12,Dairy cattle and milk production,,,356,31474100,123217600
Missaukee,2014,134,Sawmills,,,287,11878690,75026940
Missaukee,2014,441,Owner-occupied dwellings,,,0,0,52700700
Missaukee,2014,395,Wholesale trade,,,252,7126877,38712500
Missaukee,2014,411,Truck transportation,,,245,10696580,34613980
Missaukee,2014,61,Construction of other new residential structures,,,92,2331226,25114160
Missaukee,2014,534,"* Employment and payroll of local govt, education",,,241,16184110,18216980
Missaukee,2014,16,Commercial logging,,,152,8334656,17841710
Missaukee,2014,88,Ice cream and frozen dessert manufacturing,,,43,1618175,15128010
Missaukee,2014,231,Iron and steel forging,,,34,2137097,14663550
Monroe,2014,42,Electric power generation - Fossil  fuel,,,1106,182063200,1556508000
Monroe,2014,217,Iron and steel mills and ferroalloy manufacturing,,,610,59907610,668954000
Monroe,2014,43,Electric power generation - Nuclear,,,777,132374800,658149700
Monroe,2014,441,Owner-occupied dwellings,,,0,0,617851700
Monroe,2014,395,Wholesale trade,,,2070,134164800,435463300
Monroe,2014,461,Management of companies and enterprises,,,1622,235260200,403232400
Monroe,2014,350,Motor vehicle gasoline engine and engine parts manufacturing,,,453,48898700,312071000
Monroe,2014,534,"* Employment and payroll of local govt, education",,,3269,202438400,227866500
Monroe,2014,156,Petroleum refineries,,,23,10115000,200491600
Monroe,2014,482,Hospitals,,,1403,83963090,178698700
Montcalm,2014,329,Household refrigerator and home freezer manufacturing,,,1166,169471000,783992400
Montcalm,2014,441,Owner-occupied dwellings,,,0,0,212561400
Montcalm,2014,482,Hospitals,,,1571,91436900,197330000
Montcalm,2014,350,Motor vehicle gasoline engine and engine parts manufacturing,,,243,23032360,161636200
Montcalm,2014,395,Wholesale trade,,,422,22224530,81369450
Montcalm,2014,195,Other plastics product manufacturing,,,276,13599440,69075540
Montcalm,2014,12,Dairy cattle and milk production,,,204,14555420,63011280
Montcalm,2014,533,"* Employment and payroll of local govt, non-education",,,979,52050490,58637890
Montcalm,2014,534,"* Employment and payroll of local govt, education",,,823,50763670,57140040
Montcalm,2014,3,Vegetable and melon farming,,,353,28002860,56699540
Muskegon,2014,230,Nonferrous metal foundries,,,2839,207513200,740573600
Muskegon,2014,441,Owner-occupied dwellings,,,0,0,617394000
Muskegon,2014,482,Hospitals,,,4330,291886500,586575700
Muskegon,2014,42,Electric power generation - Fossil  fuel,,,374,47237320,493725000
Muskegon,2014,395,Wholesale trade,,,1969,131611800,421093900
Muskegon,2014,163,Synthetic dye and pigment manufacturing,,,330,24957650,308690000
Muskegon,2014,534,"* Employment and payroll of local govt, education",,,3818,247988200,279137700
Muskegon,2014,440,Real estate,,,2499,28936240,264111600
Muskegon,2014,229,Ferrous metal foundries,,,833,52753040,249494900
Muskegon,2014,502,Limited-service restaurants,,,3255,50103730,236508300
Newaygo,2014,82,Canned specialties,,,450,24975580,377865500
Newaygo,2014,437,Insurance carriers,,,537,31727340,202015800
Newaygo,2014,441,Owner-occupied dwellings,,,0,0,167625200
Newaygo,2014,12,Dairy cattle and milk production,,,327,21210600,79492660
Newaygo,2014,49,Electric power transmission and distribution,,,64,6095496,78770150
Newaygo,2014,66,Other animal food manufacturing,,,55,2754835,76199090
Newaygo,2014,200,"Brick, tile, and other structural clay product manufacturing",,,257,19286990,70324520
Newaygo,2014,534,"* Employment and payroll of local govt, education",,,967,59880830,67402390
Newaygo,2014,482,Hospitals,,,452,28640030,59262640
Newaygo,2014,356,Other motor vehicle parts manufacturing,,,100,7432192,53195650
Oakland,2014,395,Wholesale trade,,,43225,4844777000,12267420000
Oakland,2014,440,Real estate,,,42475,1387714000,10859840000
Oakland,2014,449,"Architectural, engineering, and related services",,,46601,4262246000,7274680000
Oakland,2014,441,Owner-occupied dwellings,,,0,0,6392076000
Oakland,2014,343,Automobile manufacturing,,,3580,446313900,6386405000
Oakland,2014,482,Hospitals,,,33316,2378277000,4655369000
Oakland,2014,437,Insurance carriers,,,8048,852233000,4082015000
Oakland,2014,461,Management of companies and enterprises,,,14470,2026195000,3521488000
Oakland,2014,464,Employment services,,,34540,1799914000,2764225000
Oakland,2014,447,Legal services,,,15035,1426753000,2732760000
Oceana,2014,79,"Frozen fruits, juices and vegetables manufacturing",,,597,28833820,262312800
Oceana,2014,81,Canned fruits and vegetables manufacturing,,,370,17991520,184686700
Oceana,2014,395,Wholesale trade,,,462,33673540,104924600
Oceana,2014,353,Motor vehicle transmission and power train parts manufacturing,,,153,12103730,92708420
Oceana,2014,441,Owner-occupied dwellings,,,0,0,88713500
Oceana,2014,217,Iron and steel mills and ferroalloy manufacturing,,,58,4351138,60264640
Oceana,2014,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",,,120,6603865,56119620
Oceana,2014,533,"* Employment and payroll of local govt, non-education",,,731,38625540,43513900
Oceana,2014,4,Fruit farming,,,694,23904830,39888160
Oceana,2014,375,"Office furniture, except wood, manufacturing",,,91,5275790,34500860
Ogemaw,2014,441,Owner-occupied dwellings,,,0,0,73160400
Ogemaw,2014,395,Wholesale trade,,,287,11465320,50007120
Ogemaw,2014,533,"* Employment and payroll of local govt, non-education",,,777,38156120,42985080
Ogemaw,2014,12,Dairy cattle and milk production,,,129,8802081,38180770
Ogemaw,2014,482,Hospitals,,,281,17093610,36086420
Ogemaw,2014,405,Retail - General merchandise stores,,,392,10616990,29266450
Ogemaw,2014,440,Real estate,,,259,1245926,26972710
Ogemaw,2014,502,Limited-service restaurants,,,381,5464085,26847720
Ogemaw,2014,403,Retail - Clothing and clothing accessories stores,,,325,5946025,23826110
Ogemaw,2014,61,Construction of other new residential structures,,,74,1594868,19989820
Osceola,2014,84,Fluid milk manufacturing,,,196,13607610,153624800
Osceola,2014,441,Owner-occupied dwellings,,,0,0,77393650
Osceola,2014,195,Other plastics product manufacturing,,,236,14583780,62657980
Osceola,2014,240,Metal window and door manufacturing,,,240,14892590,54380750
Osceola,2014,12,Dairy cattle and milk production,,,163,8983013,40480110
Osceola,2014,482,Hospitals,,,334,17288970,39620550
Osceola,2014,58,Construction of other new nonresidential structures,,,190,14237620,33970490
Osceola,2014,351,Motor vehicle electrical and electronic equipment manufacturing,,,77,6430608,33027310
Osceola,2014,62,Maintenance and repair construction of nonresidential structures,,,157,11675990,30578230
Osceola,2014,534,"* Employment and payroll of local govt, education",,,391,26863530,30237820
Otsego,2014,441,Owner-occupied dwellings,,,0,0,96469260
Otsego,2014,20,Extraction of natural gas and crude petroleum,,,665,25343240,92870000
Otsego,2014,226,"Copper rolling, drawing, extruding and alloying",,,82,4322871,89487060
Otsego,2014,482,Hospitals,,,546,36556070,73730220
Otsego,2014,395,Wholesale trade,,,357,19451690,70577670
Otsego,2014,356,Other motor vehicle parts manufacturing,,,123,9279173,65593740
Otsego,2014,198,Other rubber product manufacturing,,,195,9196635,56383200
Otsego,2014,440,Real estate,,,491,2963513,55303860
Otsego,2014,405,Retail - General merchandise stores,,,679,18564890,50885100
Otsego,2014,428,Wireless telecommunications carriers (except satellite),,,23,1595087,45105580
Ottawa,2014,354,Motor vehicle seating and interior trim manufacturing,,,2737,246414700,1588179000
Ottawa,2014,42,Electric power generation - Fossil  fuel,,,1029,132959100,1366706000
Ottawa,2014,395,Wholesale trade,,,5313,383348300,1182668000
Ottawa,2014,441,Owner-occupied dwellings,,,0,0,1122590000
Ottawa,2014,90,Meat processed from carcasses,,,2018,142198000,1029100000
Ottawa,2014,373,Wood office furniture manufacturing,,,2605,220230700,673620000
Ottawa,2014,87,"Dry, condensed, and evaporated dairy product manufacturing",,,390,36922560,649140400
Ottawa,2014,233,Custom roll forming,,,1474,98131080,601100500
Ottawa,2014,375,"Office furniture, except wood, manufacturing",,,1583,88294540,593387900
Ottawa,2014,174,Pharmaceutical preparation manufacturing,,,501,42090220,580103300
Presque Isle,2014,441,Owner-occupied dwellings,,,0,0,49893440
Presque Isle,2014,30,Stone mining and quarrying,,,208,6972341,37004900
Presque Isle,2014,49,Electric power transmission and distribution,,,24,2598978,30028960
Presque Isle,2014,482,Hospitals,,,250,11816070,28494440
Presque Isle,2014,134,Sawmills,,,89,4025119,23647060
Presque Isle,2014,410,Water transportation,,,30,3729488,23160860
Presque Isle,2014,426,Cable and other subscription programming,,,30,792223,21872670
Presque Isle,2014,411,Truck transportation,,,146,4778912,19103910
Presque Isle,2014,188,Plastics packaging materials and unlaminated film and sheet manufacturing,,,43,1368305,15712160
Presque Isle,2014,415,Couriers and messengers,,,92,7131983,15091650
Roscommon,2014,355,Motor vehicle metal stamping,,,371,17056400,126511800
Roscommon,2014,441,Owner-occupied dwellings,,,0,0,89184800
Roscommon,2014,354,Motor vehicle seating and interior trim manufacturing,,,129,5337560,64327600
Roscommon,2014,534,"* Employment and payroll of local govt, education",,,613,38578350,43424130
Roscommon,2014,405,Retail - General merchandise stores,,,359,10039880,27185330
Roscommon,2014,440,Real estate,,,271,1141035,27166940
Roscommon,2014,396,Retail - Motor vehicle and parts dealers,,,193,8460426,21853160
Roscommon,2014,531,"* Employment and payroll of state govt, non-education",,,175,17700840,20095240
Roscommon,2014,61,Construction of other new residential structures,,,73,1692637,19746660
Roscommon,2014,49,Electric power transmission and distribution,,,16,1243898,19229790
Saginaw,2014,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",,,3469,321481400,1847021000
Saginaw,2014,482,Hospitals,,,6250,426905900,852649000
Saginaw,2014,441,Owner-occupied dwellings,,,0,0,748541800
Saginaw,2014,395,Wholesale trade,,,2641,192175100,593476500
Saginaw,2014,42,Electric power generation - Fossil  fuel,,,444,58005800,590658000
Saginaw,2014,214,Ground or treated mineral and earth manufacturing,,,613,71438420,414674900
Saginaw,2014,440,Real estate,,,2208,23059840,342950700
Saginaw,2014,437,Insurance carriers,,,722,62430120,326769500
Saginaw,2014,427,Wired telecommunications carriers,,,713,62863640,305461700
Saginaw,2014,475,Offices of physicians,,,2242,167407100,266206200
Sanilac,2014,441,Owner-occupied dwellings,,,0,0,147866400
Sanilac,2014,12,Dairy cattle and milk production,,,443,31277970,144697100
Sanilac,2014,74,Beet sugar manufacturing,,,203,11294670,139055400
Sanilac,2014,395,Wholesale trade,,,682,37387200,134466300
Sanilac,2014,81,Canned fruits and vegetables manufacturing,,,253,11455490,125336800
Sanilac,2014,2,Grain farming,,,334,5683302,95283720
Sanilac,2014,482,Hospitals,,,767,35537750,86580560
Sanilac,2014,250,"Turned product and screw, nut, and bolt manufacturing",,,407,22431290,86196990
Sanilac,2014,198,Other rubber product manufacturing,,,247,10132920,69103500
Sanilac,2014,254,"Valve and fittings, other than plumbing, manufacturing",,,213,14007770,66589550
Shiawassee,2014,395,Wholesale trade,,,2137,84008620,370696600
Shiawassee,2014,441,Owner-occupied dwellings,,,0,0,259278400
Shiawassee,2014,345,Heavy duty truck manufacturing,,,249,14959650,256172400
Shiawassee,2014,482,Hospitals,,,1310,71851060,159844400
Shiawassee,2014,534,"* Employment and payroll of local govt, education",,,1647,97197730,109406600
Shiawassee,2014,190,Plastics pipe and pipe fitting manufacturing,,,176,8748202,84293730
Shiawassee,2014,356,Other motor vehicle parts manufacturing,,,159,7218200,76061180
Shiawassee,2014,49,Electric power transmission and distribution,,,51,6442715,66371140
Shiawassee,2014,333,Motor and generator manufacturing,,,171,12374120,63930590
Shiawassee,2014,149,Paperboard container manufacturing,,,135,7710468,57152270
St. Clair,2014,42,Electric power generation - Fossil  fuel,,,1109,201370600,1603601000
St. Clair,2014,441,Owner-occupied dwellings,,,0,0,634407500
St. Clair,2014,356,Other motor vehicle parts manufacturing,,,1073,59617880,532568500
St. Clair,2014,395,Wholesale trade,,,1790,161882800,441006000
St. Clair,2014,147,Paper mills,,,425,46653590,338359100
St. Clair,2014,482,Hospitals,,,2633,158082800,335854500
St. Clair,2014,50,Natural gas distribution,,,403,59382270,271744300
St. Clair,2014,440,Real estate,,,2217,33025290,271650500
St. Clair,2014,534,"* Employment and payroll of local govt, education",,,3124,203239100,228767800
St. Clair,2014,226,"Copper rolling, drawing, extruding and alloying",,,188,11868260,211576400
St. Joseph,2014,353,Motor vehicle transmission and power train parts manufacturing,,,1566,90719890,887257500
St. Joseph,2014,87,"Dry, condensed, and evaporated dairy product manufacturing",,,498,37273410,808957400
St. Joseph,2014,192,Polystyrene foam product manufacturing,,,882,51171480,335347600
St. Joseph,2014,195,Other plastics product manufacturing,,,1174,61516800,298431800
St. Joseph,2014,346,Motor vehicle body manufacturing,,,855,62315110,277186500
St. Joseph,2014,156,Petroleum refineries,,,28,4869641,248082000
St. Joseph,2014,441,Owner-occupied dwellings,,,0,0,214765100
St. Joseph,2014,356,Other motor vehicle parts manufacturing,,,311,15082640,150464200
St. Joseph,2014,395,Wholesale trade,,,649,42146390,136485700
St. Joseph,2014,534,"* Employment and payroll of local govt, education",,,1693,98948560,111377400
Tuscola,2014,441,Owner-occupied dwellings,,,0,0,196325900
Tuscola,2014,350,Motor vehicle gasoline engine and engine parts manufacturing,,,292,20134580,180708700
Tuscola,2014,395,Wholesale trade,,,658,43390070,141636400
Tuscola,2014,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",,,234,11557780,107232600
Tuscola,2014,2,Grain farming,,,445,5556648,93341990
Tuscola,2014,534,"* Employment and payroll of local govt, education",,,1315,77790420,87561580
Tuscola,2014,74,Beet sugar manufacturing,,,119,8482002,85786300
Tuscola,2014,165,Other basic organic chemical manufacturing,,,42,3328571,85769850
Tuscola,2014,356,Other motor vehicle parts manufacturing,,,172,8393420,83397940
Tuscola,2014,13,Poultry and egg production,,,204,9787853,70327640
Van Buren,2014,43,Electric power generation - Nuclear,,,702,117074400,590021000
Van Buren,2014,81,Canned fruits and vegetables manufacturing,,,627,24662580,304826600
Van Buren,2014,456,Scientific research and development services,,,1321,84312910,276327200
Van Buren,2014,441,Owner-occupied dwellings,,,0,0,276060800
Van Buren,2014,534,"* Employment and payroll of local govt, education",,,2137,134885400,151828200
Van Buren,2014,42,Electric power generation - Fossil  fuel,,,106,17078760,148336700
Van Buren,2014,395,Wholesale trade,,,599,35988450,123042500
Van Buren,2014,533,"* Employment and payroll of local govt, non-education",,,1988,104475200,117697400
Van Buren,2014,461,Management of companies and enterprises,,,579,48814000,105370700
Van Buren,2014,4,Fruit farming,,,1288,47718540,69043880
Washtenaw,2014,531,"* Employment and payroll of state govt, non-education",,,36060,2665438000,3025991000
Washtenaw,2014,441,Owner-occupied dwellings,,,0,0,1807844000
Washtenaw,2014,440,Real estate,,,6799,128637300,1624962000
Washtenaw,2014,456,Scientific research and development services,,,5845,550494300,1443329000
Washtenaw,2014,395,Wholesale trade,,,5537,485668500,1364310000
Washtenaw,2014,482,Hospitals,,,6914,503328300,976657900
Washtenaw,2014,532,"* Employment and payroll of state govt, education",,,16505,771044600,873234000
Washtenaw,2014,449,"Architectural, engineering, and related services",,,4395,482511000,760789700
Washtenaw,2014,475,Offices of physicians,,,4389,526914400,710875800
Washtenaw,2014,354,Motor vehicle seating and interior trim manufacturing,,,1284,84292720,692836400
Wayne,2014,343,Automobile manufacturing,,,18359,2044406000,32168620000
Wayne,2014,395,Wholesale trade,,,31561,2906146000,8019917000
Wayne,2014,482,Hospitals,,,52665,3918464000,7529871000
Wayne,2014,441,Owner-occupied dwellings,,,0,0,6562440000
Wayne,2014,461,Management of companies and enterprises,,,22017,3141507000,5418388000
Wayne,2014,456,Scientific research and development services,,,17843,2242123000,5114524000
Wayne,2014,217,Iron and steel mills and ferroalloy manufacturing,,,4398,488965900,4942032000
Wayne,2014,344,Light truck and utility vehicle manufacturing,,,2261,200963100,4838780000
Wayne,2014,408,Air transportation,,,10532,1102861000,4086684000
Wayne,2014,440,Real estate,,,21291,376135600,3699393000
Wexford,2014,364,Boat building,,,900,74175870,252663800
Wexford,2014,198,Other rubber product manufacturing,,,805,37584030,232232500
Wexford,2014,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",,,392,28212170,195047500
Wexford,2014,165,Other basic organic chemical manufacturing,,,70,3859353,141750200
Wexford,2014,441,Owner-occupied dwellings,,,0,0,117158000
Wexford,2014,327,Small electrical appliance manufacturing,,,226,16049350,103296000
Wexford,2014,482,Hospitals,,,588,36329710,76131200
Wexford,2014,261,Other fabricated metal manufacturing,,,291,19342340,65474160
Wexford,2014,411,Truck transportation,,,392,21673560,61771150
Wexford,2014,534,"* Employment and payroll of local govt, education",,,775,49398660,55603570
