county,year,industry,description,notused1,notused2,employment,laborinc,output
Alcona,2001,441,Owner-occupied dwellings,,,0,0,50467750
Alcona,2001,440,Real estate,,,224,3401893,20150470
Alcona,2001,42,Electric power generation - Fossil  fuel,,,22,1658623,14887750
Alcona,2001,534,"* Employment and payroll of local govt, education",,,162,7279576,8106654
Alcona,2001,59,Construction of new single-family residential structures,,,133,2636330,7683740
Alcona,2001,279,"Special tool, die, jig, and fixture manufacturing",,,96,4694815,7326774
Alcona,2001,61,Construction of other new residential structures,,,54,979560,6478040
Alcona,2001,264,Construction machinery manufacturing,,,27,885557,6392253
Alcona,2001,280,Cutting tool and machine tool accessory manufacturing,,,57,2294253,6342849
Alcona,2001,405,Retail - General merchandise stores,,,128,3298033,5716088
Allegan,2001,364,Boat building,,,1266,64152510,673140300
Allegan,2001,174,Pharmaceutical preparation manufacturing,,,2404,159840400,637714500
Allegan,2001,179,Soap and other detergent manufacturing,,,1503,93999370,466607400
Allegan,2001,89,"Animal, except poultry, slaughtering",,,1508,52271320,348956400
Allegan,2001,375,"Office furniture, except wood, manufacturing",,,2235,97587320,328805700
Allegan,2001,441,Owner-occupied dwellings,,,0,0,289295600
Allegan,2001,106,Bottled and canned soft drinks & water,,,742,39806230,226745400
Allegan,2001,440,Real estate,,,2136,25097020,213606000
Allegan,2001,395,Wholesale trade,,,1550,65491520,181145600
Allegan,2001,78,Confectionery manufacturing from purchased chocolate,,,772,31965640,147989600
Alpena,2001,271,All other industrial machinery manufacturing,,,423,22548310,100604000
Alpena,2001,441,Owner-occupied dwellings,,,0,0,77027750
Alpena,2001,138,Reconstituted wood product manufacturing,,,312,21010740,68227740
Alpena,2001,291,Conveyor and conveying equipment manufacturing,,,371,16993910,65359750
Alpena,2001,395,Wholesale trade,,,552,20016850,60756880
Alpena,2001,531,"* Employment and payroll of state govt, non-education",,,987,45691440,51678680
Alpena,2001,533,"* Employment and payroll of local govt, non-education",,,1140,44234650,49326850
Alpena,2001,205,Cement manufacturing,,,116,11355530,49292320
Alpena,2001,84,Fluid milk manufacturing,,,95,5023334,46836590
Alpena,2001,440,Real estate,,,437,5165585,46509000
Antrim,2001,441,Owner-occupied dwellings,,,0,0,89580500
Antrim,2001,355,Motor vehicle metal stamping,,,388,15372710,69219100
Antrim,2001,440,Real estate,,,634,5283766,55766680
Antrim,2001,395,Wholesale trade,,,276,11847790,32830780
Antrim,2001,533,"* Employment and payroll of local govt, non-education",,,772,23814720,26556220
Antrim,2001,534,"* Employment and payroll of local govt, education",,,504,20726150,23080980
Antrim,2001,380,Surgical appliance and supplies manufacturing,,,111,5688545,19246280
Antrim,2001,59,Construction of new single-family residential structures,,,331,6189305,19013180
Antrim,2001,407,Retail - Nonstore retailers,,,287,3991593,16634370
Antrim,2001,503,All other food and drinking places,,,261,3847233,13001770
Arenac,2001,441,Owner-occupied dwellings,,,0,0,49123350
Arenac,2001,395,Wholesale trade,,,309,6221383,27203860
Arenac,2001,411,Truck transportation,,,246,9428873,24626700
Arenac,2001,433,Monetary authorities and depository credit intermediation,,,152,4567616,21135750
Arenac,2001,300,"Scales, balances, and miscellaneous general purpose machinery manufacturing",,,101,3452123,20716290
Arenac,2001,533,"* Employment and payroll of local govt, non-education",,,412,17522250,19539380
Arenac,2001,440,Real estate,,,264,830675,15780930
Arenac,2001,478,Outpatient care centers,,,175,3172699,15211460
Arenac,2001,428,Wireless telecommunications carriers (except satellite),,,27,1078783,14964840
Arenac,2001,363,Ship building and repairing,,,107,4923342,14642740
Barry,2001,331,Other major household appliance manufacturing,,,2861,189853800,707514400
Barry,2001,534,"* Employment and payroll of local govt, education",,,1437,68790250,76605940
Barry,2001,440,Real estate,,,980,7123817,66391420
Barry,2001,197,Rubber and plastics hoses and belting manufacturing,,,687,32401130,87464380
Barry,2001,407,Retail - Nonstore retailers,,,670,1790385,11860810
Barry,2001,59,Construction of new single-family residential structures,,,619,14701340,39553450
Barry,2001,509,Personal care services,,,616,8779391,13971380
Barry,2001,487,Child day care services,,,613,3235541,8179760
Barry,2001,533,"* Employment and payroll of local govt, non-education",,,596,22059530,24598970
Barry,2001,482,Hospitals,,,568,19615330,38870330
Bay,2001,49,Electric power transmission and distribution,,,242,17962820,335368400
Bay,2001,441,Owner-occupied dwellings,,,0,0,286822400
Bay,2001,350,Motor vehicle gasoline engine and engine parts manufacturing,,,751,64656850,255275400
Bay,2001,534,"* Employment and payroll of local govt, education",,,4240,196976500,219356300
Bay,2001,456,Scientific research and development services,,,973,93015780,205181300
Bay,2001,395,Wholesale trade,,,1425,62826570,171769700
Bay,2001,482,Hospitals,,,1937,78267460,144804400
Bay,2001,166,Plastics material and resin manufacturing,,,243,20647850,139464400
Bay,2001,440,Real estate,,,1075,11712360,123473800
Bay,2001,74,Beet sugar manufacturing,,,290,10413940,102200300
Benzie,2001,83,Dehydrated food products manufacturing,,,217,10050570,61591870
Benzie,2001,441,Owner-occupied dwellings,,,0,0,57358320
Benzie,2001,440,Real estate,,,326,4280678,28578140
Benzie,2001,354,Motor vehicle seating and interior trim manufacturing,,,134,4086985,24943400
Benzie,2001,433,Monetary authorities and depository credit intermediation,,,131,5926945,21835370
Benzie,2001,364,Boat building,,,38,885747,19039300
Benzie,2001,42,Electric power generation - Fossil  fuel,,,29,1691585,18551990
Benzie,2001,499,"Hotels and motels, including casino hotels",,,272,5708368,18102840
Benzie,2001,81,Canned fruits and vegetables manufacturing,,,65,2620307,16801960
Benzie,2001,59,Construction of new single-family residential structures,,,287,5457104,16753370
Berrien,2001,49,Electric power transmission and distribution,,,558,76792450,923779800
Berrien,2001,441,Owner-occupied dwellings,,,0,0,460107700
Berrien,2001,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",,,1334,90259280,304907000
Berrien,2001,395,Wholesale trade,,,2387,98830540,278198600
Berrien,2001,534,"* Employment and payroll of local govt, education",,,5748,249304100,277629100
Berrien,2001,440,Real estate,,,1902,23821450,229549000
Berrien,2001,330,Household laundry equipment manufacturing,,,945,81577940,221760100
Berrien,2001,482,Hospitals,,,2641,98372420,188449000
